iter	Passed	Remaining
254	6329	18493
255	6355	18472
256	6379	18443
257	6405	18422
258	6430	18397
259	6453	18366
260	6480	18348
261	6503	18318
262	6523	18281
263	6548	18257
264	6575	18237
265	6602	18220
266	6628	18197
267	6656	18181
268	6679	18152
269	6701	18120
270	6723	18085
271	6749	18064
272	6779	18054
273	6804	18028
274	6829	18004
275	6855	17983
276	6888	17980
277	6911	17950
278	6937	17928
279	6962	17904
280	6986	17877
281	7012	17854
282	7040	17836
283	7065	17814
284	7087	17781
285	7110	17750
286	7138	17734
287	7159	17700
288	7187	17683
289	7214	17662
290	7234	17626
291	7260	17603
292	7286	17582
293	7308	17549
294	7332	17522
295	7363	17514
296	7390	17493
297	7414	17465
298	7441	17446
299	7468	17426
300	7492	17400
301	7517	17374
302	7549	17366
303	7575	17342
304	7601	17320
305	7627	17297
306	7650	17269
307	7672	17237
308	7695	17210
309	7723	17191
310	7746	17162
311	7775	17145
312	7803	17127
313	7830	17106
314	7853	17077
315	7881	17060
316	7908	17040
317	7932	17013
318	7952	16977
319	7973	16944
320	8003	16928
321	8028	16903
322	8055	16883
323	8076	16851
324	8104	16832
325	8131	16811
326	8153	16779
327	8177	16754
328	8200	16725
329	8224	16697
330	8246	16666
331	8276	16651
332	8297	16620
333	8324	16599
334	8352	16579
335	8374	16548
336	8393	16513
337	8420	16492
338	8449	16475
339	8476	16453
340	8499	16426
341	8528	16408
342	8548	16373
343	8576	16354
344	8597	16322
345	8623	16300
346	8647	16273
347	8670	16244
348	8692	16214
349	8717	16189
350	8741	16162
351	8769	16144
352	8791	16113
353	8816	16089
354	8837	16057
355	8868	16042
356	8890	16013
357	8921	15999
358	8946	15974
359	8971	15949
360	8998	15927
361	9016	15890
362	9038	15860
363	9065	15839
364	9087	15809
365	9116	15791
366	9139	15764
367	9165	15740
368	9190	15715
369	9217	15694
370	9242	15669
371	9268	15646
372	9291	15618
373	9315	15592
374	9345	15576
375	9371	15553
376	9393	15523
377	9420	15501
378	9441	15469
379	9468	15448
380	9493	15423
381	9522	15405
382	9546	15378
383	9570	15352
384	9594	15326
385	9614	15293
386	9638	15267
387	9663	15243
388	9686	15214
389	9709	15187
390	9737	15166
391	9761	15140
392	9785	15113
393	9806	15083
394	9835	15064
395	9859	15038
396	9883	15011
397	9907	14986
398	9934	14963
399	9957	14936
400	9987	14918
401	10014	14897
402	10045	14881
